combattant_1,combattant_2,resultat,methode
Jussier Formiga,Dustin Ortiz,0,DEC
Luan Chagas,Erick Silva,1,SUB
Alan Patrick,Stevie Ray,0,DEC
Hector Urbina,Vicente Luque,1,KO/TKO
Gregor Gillespie,Glaico Franca Moreira,0,DEC
Michael Johnson,Dustin Poirier,0,KO/TKO
Uriah Hall,Derek Brunson,1,KO/TKO
Evan Dunham,Ricky Glenn,0,DEC
Kenny Robertson,Roan Carneiro,1,DEC
Islam Makhachev,Chris Wade,0,DEC
Maximo Blanco,Chas Skelly,1,SUB
Gabriel Benitez,Sam Sicilia,0,SUB
Augusto Montano,Belal Muhammad,1,KO/TKO
Antonio Carlos Junior,Leonardo Guimaraes,0,SUB
Joey Gomez,Jose Quinonez,1,DEC
Randy Brown,Erick Montano,0,SUB
Albert Morales,Alejandro Perez,1,M-DEC
Stipe Miocic,Alistair Overeem,0,KO/TKO
Travis Browne,Fabricio Werdum,1,DEC
Mickey Gall,CM Punk,0,SUB
Urijah Faber,Jimmie Rivera,1,DEC
Jessica Andrade,Joanne Wood,0,SUB
Jessica Eye,Bethe Correia,1,DEC
Brad Tavares,Caio Magalhaes,0,DEC
Michael McBride,Nik Lentz,1,KO/TKO
Drew Dober,Jason Gonzalez,0,KO/TKO
Sean Spencer,Yancy Medeiros,1,SUB
Josh Barnett,Andrei Arlovski,0,SUB
Jan Blachowicz,Alexander Gustafsson,1,DEC
Ryan Bader,Ilir Latifi,0,KO/TKO
Tae Hyun Bang,Nick Hein,1,DEC
Jessin Ayari,Jim Wallhead,0,DEC
Nicolas Dalby,Peter Sobotta,1,DEC
Ashlee Evans-Smith,Veronica Hardy,0,KO/TKO
Leandro Issa,Taylor Lapilus,1,DEC
Jarjis Danho,Christian Colombo,0,M-DEC
Scott Askham,Jack Hermansson,1,DEC
Rustam Khabilov,Leandro Silva,0,DEC
Demian Maia,Carlos Condit,0,SUB
Charles Oliveira,Anthony Pettis,1,SUB
Paige VanZant,Bec Rawlings,0,KO/TKO
Joe Lauzon,Jim Miller,1,DEC
Sam Alvey,Kevin Casey,0,KO/TKO
Enrique Barzola,Kyle Bochniak,1,DEC
Alessio Di Chirico,Garreth McLellan,0,DEC
Shane Campbell,Felipe Silva,1,KO/TKO
Chad Laprise,Thibault Gouti,0,KO/TKO
Alex Ricci,Jeremy Kennedy,1,DEC
Conor McGregor,Nate Diaz,0,M-DEC
Glover Teixeira,Anthony Johnson,1,KO/TKO
Donald Cerrone,Rick Story,0,KO/TKO
Hyun Gyu Lim,Mike Perry,1,KO/TKO
Tim Means,Sabah Homasi,0,KO/TKO
Takeya Mizugaki,Cody Garbrandt,1,KO/TKO
Raquel Pennington,Elizabeth Phillips,0,DEC
Chris Avila,Artem Lobov,1,DEC
Cortney Casey,Randa Markos,0,SUB
Neil Magny,Lorenz Larkin,1,KO/TKO
Colby Covington,Max Griffin,0,KO/TKO
Alberto Uda,Marvin Vettori,1,SUB
Yair Rodriguez,Alex Caceres,0,DEC
Rony Jason,Dennis Bermudez,1,DEC
Thales Leites,Chris Camozzi,0,SUB
Zak Cummings,Santiago Ponzinibbio,1,DEC
Trevor Smith,Joseph Gigliotti,0,DEC
Danielle Taylor,Maryna Moroz,1,DEC
Court McGee,Dominique Steele,0,DEC
Viktor Pesta,Marcin Tybura,1,KO/TKO
David Teymur,Jason Novelli,0,KO/TKO
Horacio Gutierrez,Teruto Ishihara,1,KO/TKO
Cub Swanson,Tatsuya Kawajiri,0,DEC
Chase Sherman,Justin Ledet,1,DEC
Tyron Woodley,Robbie Lawler,0,KO/TKO
Rose Namajunas,Karolina Kowalkiewicz,1,DEC
Jake Ellenberger,Matt Brown,0,KO/TKO
Francisco Rivera,Erik Perez,1,DEC
Ryan Benoit,Fredy Serrano,0,DEC
Ed Herman,Nikita Krylov,1,KO/TKO
Jorge Masvidal,Ross Pearson,0,DEC
Damian Grabowski,Anthony Hamilton,1,KO/TKO
Wilson Reis,Hector Sandoval,0,SUB
Bojan Velickovic,Michael Graves,1,M-DEC
Damien Brown,Cesar Arzamendia,0,KO/TKO
Valentina Shevchenko,Holly Holm,0,DEC
Gilbert Melendez,Edson Barboza,1,DEC
Francis Ngannou,Bojan Mihajlovic,0,KO/TKO
Kailin Curran,Felice Herrig,1,SUB
Eddie Wineland,Frankie Saenz,0,KO/TKO
Godofredo Pepey,Darren Elkins,1,DEC
Kamaru Usman,Alexander Yakovlev,0,DEC
JC Cottrell,Michel Prazeres,1,DEC
Alex Oliveira,James Moontasri,0,DEC
Jim Alers,Jason Knight,1,DEC
Luis Henrique,Dmitrii Smoliakov,0,SUB
John Lineker,Michael McDonald,0,KO/TKO
Lando Vannata,Tony Ferguson,1,SUB
Tim Boetsch,Josh Samman,0,KO/TKO
Aleksei Oleinik,Daniel Omielanczuk,1,M-DEC
Keita Nakamura,Kyle Noke,0,SUB
Ben Nguyen,Louis Smolka,1,KO/TKO
Katlyn Cerminara,Lauren Murphy,0,DEC
Eric Spicely,Sam Alvey,1,SUB
Cortney Casey,Cristina Stanciu,0,KO/TKO
Cody Pfister,Scott Holtzman,1,DEC
Rani Yahya,Matthew Lopez,0,SUB
Devin Clark,Alex Nicholson,1,KO/TKO
Amanda Nunes,Miesha Tate,0,SUB
Mark Hunt,Brock Lesnar,1,Overturned
Daniel Cormier,Anderson Silva,0,DEC
Frankie Edgar,Jose Aldo,1,DEC
Cain Velasquez,Travis Browne,0,KO/TKO
Cat Zingano,Julianna Pena,1,DEC
Kelvin Gastelum,Johny Hendricks,0,DEC
Raphael Assuncao,TJ Dillashaw,1,DEC
Sage Northcutt,Enrique Marin,0,DEC
Diego Sanchez,Joe Lauzon,1,KO/TKO
Gegard Mousasi,Thiago Santos,0,KO/TKO
Takanori Gomi,Jim Miller,1,KO/TKO
Joanna Jedrzejczyk,Claudia Gadelha,0,DEC
Khalil Rountree Jr.,Andrew Sanchez,1,DEC
Tatiana Suarez,Amanda Cooper,0,SUB
Ross Pearson,Will Brooks,1,DEC
Dooho Choi,Thiago Tavares,0,KO/TKO
Andrew Holbrook,Joaquim Silva,1,KO/TKO
Gray Maynard,Fernando Bruno,0,DEC
John Moraga,Matheus Nicolau,1,DEC
Josh Stansbury,Cory Hendricks,0,M-DEC
Anthony Smith,Cezar Ferreira,1,DEC
Kevin Lee,Jake Matthews,0,KO/TKO
Anton Zafir,Li Jingliang,1,KO/TKO
Eddie Alvarez,Rafael Dos Anjos,0,KO/TKO
Roy Nelson,Derrick Lewis,1,DEC
Alan Jouban,Belal Muhammad,0,DEC
Mitch Clarke,Joe Duffy,1,SUB
Alberto Mina,Mike Pyle,0,KO/TKO
Mehdi Baghdad,John Makdessi,1,DEC
Anthony Birchak,Dileno Lopes,0,DEC
Russell Doane,Pedro Munhoz,1,SUB
Felipe Arantes,Jerrod Sanders,0,SUB
Lukasz Sajewski,Gilbert Burns,1,SUB
Marco Beltran,Reginaldo Vieira,0,SUB
Alvaro Herrera Mendoza,Vicente Luque,1,SUB
Stephen Thompson,Rory MacDonald,0,DEC
Patrick Cote,Donald Cerrone,1,KO/TKO
Steve Bosse,Sean O'Connell,0,DEC
Thibault Gouti,Olivier Aubin-Mercier,1,SUB
Joanne Wood,Valerie Letourneau,0,KO/TKO
Leandro Silva,Jason Saggo,1,DEC
Misha Cirkunov,Ion Cutelaba,0,SUB
Tamdan McCrory,Krzysztof Jotko,1,KO/TKO
Joe Soto,Chris Beal,0,SUB
Sam Alvey,Elias Theodorou,1,DEC
Randa Markos,Jocelyn Jones-Lybarger,0,DEC
Jonathan Meunier,Colby Covington,1,SUB
Ali Bagautinov,Geane Herrera,0,DEC
Michael Bisping,Luke Rockhold,0,KO/TKO
Urijah Faber,Dominick Cruz,1,DEC
Max Holloway,Ricardo Lamas,0,DEC
Hector Lombard,Dan Henderson,1,KO/TKO
Dustin Poirier,King Green,0,KO/TKO
Clay Guida,Brian Ortega,1,KO/TKO
Beneil Dariush,James Vick,0,KO/TKO
Jessica Penne,Jessica Andrade,1,KO/TKO
Alex Caceres,Cole Miller,0,DEC
Tom Breese,Sean Strickland,1,DEC
Henrique da Silva,Jonathan Wilson,0,KO/TKO
Elvis Mutapcic,Kevin Casey,1,DEC
Marco Polo Reyes,Dong Hyun Ma,0,KO/TKO
Cody Garbrandt,Thomas Almeida,0,KO/TKO
Renan Barao,Jeremy Stephens,1,DEC
Rick Story,Tarec Saffiedine,0,DEC
Vitor Miranda,Chris Camozzi,1,DEC
Lorenz Larkin,Jorge Masvidal,0,DEC
Joshua Burkman,Paul Felder,1,DEC
Sara McMann,Jessica Eye,0,DEC
Jordan Rinaldi,Abel Trujillo,1,DEC
Jake Collier,Alberto Uda,0,KO/TKO
Shane Campbell,Erik Koch,1,SUB
Bryan Caraway,Aljamain Sterling,0,DEC
Chris de la Rocha,Adam Milstead,1,KO/TKO
Stipe Miocic,Fabricio Werdum,0,KO/TKO
Vitor Belfort,Jacare Souza,1,KO/TKO
Cristiane Justino,Leslie Smith,0,KO/TKO
Corey Anderson,Mauricio Rua,1,DEC
Bryan Barberena,Warlley Alves,0,DEC
Matt Brown,Demian Maia,1,SUB
Thiago Santos,Nate Marquardt,0,KO/TKO
Yancy Medeiros,Francisco Trinaldo,1,DEC
John Lineker,Rob Font,0,DEC
Patrick Cummins,Rogerio Nogueira,1,KO/TKO
Sergio Moraes,Luan Chagas,0,DEC
Zubaira Tukhugov,Renato Moicano,1,DEC
Alistair Overeem,Andrei Arlovski,0,KO/TKO
Antonio Silva,Stefan Struve,1,KO/TKO
Gunnar Nelson,Albert Tumenov,0,SUB
Anna Elmose,Germaine de Randamie,1,KO/TKO
Nikita Krylov,Francimar Barroso,0,SUB
Heather Clark,Karolina Kowalkiewicz,1,DEC
Rustam Khabilov,Chris Wade,0,DEC
Garreth McLellan,Magnus Cedenblad,1,KO/TKO
Josh Emmett,Jon Tuck,0,DEC
Yan Cabral,Reza Madadi,1,KO/TKO
Kyoji Horiguchi,Neil Seery,0,DEC
Dominic Waters,Leon Edwards,1,DEC
Yuta Sasaki,Willie Gates,0,SUB
Jon Jones,Ovince Saint Preux,0,DEC
Henry Cejudo,Demetrious Johnson,1,KO/TKO
Edson Barboza,Anthony Pettis,0,DEC
Rafael Natal,Robert Whittaker,1,DEC
Yair Rodriguez,Andre Fili,0,KO/TKO
Chris Kelades,Sergio Pettis,1,DEC
Danny Roberts,Dominique Steele,0,DEC
Juliana Lima,Carla Esparza,1,DEC
James Vick,Glaico Franca Moreira,0,DEC
Cody East,Walt Harris,1,KO/TKO
Marcos Rogerio de Lima,Clint Hester,0,SUB
Efrain Escudero,Kevin Lee,1,DEC
Glover Teixeira,Rashad Evans,0,KO/TKO
Tecia Pennington,Rose Namajunas,1,DEC
Khabib Nurmagomedov,Darrell Horcher,0,KO/TKO
Hacran Dias,Cub Swanson,1,DEC
Michael Chiesa,Beneil Dariush,0,SUB
Bethe Correia,Raquel Pennington,1,DEC
Santiago Ponzinibbio,Court McGee,0,KO/TKO
Randy Brown,Michael Graves,1,SUB
John Dodson,Manvel Gamburyan,0,KO/TKO
Oluwale Bamgbose,Cezar Ferreira,1,DEC
Elizeu Zaleski dos Santos,Omari Akhmedov,0,KO/TKO
Junior Dos Santos,Ben Rothwell,0,DEC
Gabriel Gonzaga,Derrick Lewis,1,KO/TKO
Francis Ngannou,Curtis Blaydes,0,KO/TKO
Marcin Tybura,Timothy Johnson,1,DEC
Jan Blachowicz,Igor Pokrajac,0,DEC
Cristina Stanciu,Maryna Moroz,1,DEC
Zak Cummings,Nicolas Dalby,0,DEC
Ian Entwistle,Alejandro Perez,1,KO/TKO
Mairbek Taisumov,Damir Hadzovic,0,KO/TKO
Filip Pejic,Damian Stasiak,1,SUB
Lucas Martins,Robert Whiteford,0,DEC
Cyril Asker,Jared Cannonier,1,KO/TKO
Bojan Velickovic,Alessio Di Chirico,0,DEC
Mark Hunt,Frank Mir,0,KO/TKO
Hector Lombard,Neil Magny,1,KO/TKO
Jake Matthews,Johnny Case,0,SUB
Antonio Carlos Junior,Daniel Kelly,1,KO/TKO
Steve Bosse,James Te Huna,0,KO/TKO
Seo Hee Ham,Bec Rawlings,1,DEC
Alan Jouban,Brendan O'Reilly,0,KO/TKO
Mark Eddiva,Dan Hooker,1,SUB
Leslie Smith,Rin Nakai,0,DEC
Richard Walsh,Viscardi Andrade,1,DEC
Ross Pearson,Chad Laprise,0,DEC
Damien Brown,Alan Patrick,1,DEC
Nate Diaz,Conor McGregor,0,SUB
Holly Holm,Miesha Tate,1,SUB
Ilir Latifi,Gian Villante,0,DEC
Tom Lawlor,Corey Anderson,1,DEC
Amanda Nunes,Valentina Shevchenko,0,DEC
Brandon Thatch,Siyar Bahadurzada,1,SUB
Nordine Taleb,Erick Silva,0,KO/TKO
Marcelo Guimaraes,Vitor Miranda,1,KO/TKO
Darren Elkins,Chas Skelly,0,DEC
Jim Miller,Diego Sanchez,1,DEC
Jason Saggo,Justin Salas,0,KO/TKO
Julian Erosa,Teruto Ishihara,1,KO/TKO
Michael Bisping,Anderson Silva,0,DEC
Thales Leites,Gegard Mousasi,1,DEC
Tom Breese,Keita Nakamura,0,DEC
Francisco Rivera,Brad Pickett,1,DEC
Makwan Amirkhani,Mike Wilkinson,0,DEC
Marlon Vera,Davey Grant,1,DEC
Scott Askham,Chris Dempsey,0,KO/TKO
Yaotzin Meza,Arnold Allen,1,DEC
Krzysztof Jotko,Brad Scott,0,DEC
Norman Parke,Rustam Khabilov,1,DEC
Daniel Omielanczuk,Jarjis Danho,0,M-DEC
Thibault Gouti,Teemu Packalen,1,SUB
David Teymur,Martin Svensson,0,KO/TKO
Donald Cerrone,Alex Oliveira,0,SUB
Roan Carneiro,Derek Brunson,1,KO/TKO
Cody Garbrandt,Augusto Mendes,0,KO/TKO
Tatsuya Kawajiri,Dennis Bermudez,1,DEC
Chris Camozzi,Joe Riggs,0,KO/TKO
Shane Campbell,James Krause,1,DEC
Sean Strickland,Alex Garcia,0,KO/TKO
Daniel Sarafian,Oluwale Bamgbose,1,KO/TKO
Anthony Smith,Leonardo Guimaraes,0,DEC
Jonavin Webb,Nathan Coy,1,DEC
Ashlee Evans-Smith,Marion Reneau,0,DEC
Kelly Faszholz,Lauren Murphy,1,KO/TKO
Shamil Abdurakhimov,Anthony Hamilton,0,DEC
Stephen Thompson,Johny Hendricks,0,KO/TKO
Jared Rosholt,Roy Nelson,1,DEC
Ovince Saint Preux,Rafael Cavalcante,0,DEC
Zach Makovsky,Joseph Benavidez,1,DEC
Misha Cirkunov,Alex Nicholson,0,SUB
Sean Spencer,Mike Pyle,1,KO/TKO
Joshua Burkman,KJ Noons,0,DEC
Damian Grabowski,Derrick Lewis,1,KO/TKO
Justin Scoggins,Ray Borg,0,DEC
Noad Lahat,Diego Rivas,1,KO/TKO
Mickey Gall,Mike Jackson,0,SUB
Artem Lobov,Alex White,1,DEC
Anthony Johnson,Ryan Bader,0,KO/TKO
Josh Barnett,Ben Rothwell,1,SUB
Jimmie Rivera,Iuri Alcantara,0,DEC
Sage Northcutt,Bryan Barberena,1,SUB
Tarec Saffiedine,Jake Ellenberger,0,DEC
Olivier Aubin-Mercier,Diego Ferreira,1,DEC
Rafael Natal,Kevin Casey,0,KO/TKO
Dustin Ortiz,Wilson Reis,1,DEC
Alexander Yakovlev,George Sullivan,0,KO/TKO
Masio Fullen,Alex Caceres,1,DEC
Randy Brown,Matt Dwyer,0,DEC
Levan Makashvili,Damon Jackson,1,M-DEC
Anthony Rocco Martin,Felipe Olivieri,0,SUB
Dominick Cruz,TJ Dillashaw,0,DEC
Anthony Pettis,Eddie Alvarez,1,DEC
Travis Browne,Matt Mitrione,0,KO/TKO
Ross Pearson,Francisco Trinaldo,1,DEC
Patrick Cote,Ben Saunders,0,KO/TKO
Tim Boetsch,Ed Herman,1,KO/TKO
Chris Wade,Mehdi Baghdad,0,SUB
Maximo Blanco,Luke Sanders,1,SUB
Paul Felder,Daron Cruickshank,0,SUB
Sean O'Connell,Ilir Latifi,1,KO/TKO
Charles Rosa,Kyle Bochniak,0,DEC
Joey Gomez,Rob Font,1,KO/TKO
Francimar Barroso,Elvis Mutapcic,0,DEC
Robbie Lawler,Carlos Condit,0,DEC
Andrei Arlovski,Stipe Miocic,1,KO/TKO
Albert Tumenov,Lorenz Larkin,0,DEC
Diego Brandao,Brian Ortega,1,SUB
Abel Trujillo,Tony Sims,0,SUB
Masanori Kanehara,Michael McDonald,1,SUB
Alex Morono,Kyle Noke,0,DEC
Nina Nunes,Justine Kish,1,DEC
Drew Dober,Scott Holtzman,0,DEC
Joe Duffy,Dustin Poirier,1,DEC
Michinori Tanaka,Joe Soto,0,DEC
Edgar Garcia,Sheldon Westcott,1,KO/TKO
Rafael Dos Anjos,Donald Cerrone,0,KO/TKO
Junior Dos Santos,Alistair Overeem,1,KO/TKO
Nate Diaz,Michael Johnson,0,DEC
Randa Markos,Karolina Kowalkiewicz,1,DEC
Charles Oliveira,Myles Jury,0,SUB
CB Dollaway,Nate Marquardt,1,KO/TKO
Valentina Shevchenko,Sarah Kaufman,0,DEC
Josh Samman,Tamdan McCrory,1,SUB
Nik Lentz,Danny Castillo,0,DEC
Jim Alers,Cole Miller,1,CNC
Kamaru Usman,Leon Edwards,0,DEC
Hayder Hassan,Vicente Luque,1,SUB
Francis Ngannou,Luis Henrique,0,KO/TKO
Conor McGregor,Jose Aldo,0,KO/TKO
Chris Weidman,Luke Rockhold,1,KO/TKO
Yoel Romero,Jacare Souza,0,DEC
Gunnar Nelson,Demian Maia,1,DEC
Max Holloway,Jeremy Stephens,0,DEC
Frankie Saenz,Urijah Faber,1,DEC
Tecia Pennington,Jocelyn Jones-Lybarger,0,DEC
Colby Covington,Warlley Alves,1,SUB
Leonardo Santos,Kevin Lee,0,KO/TKO
Joe Proctor,Magomed Mustafaev,1,KO/TKO
Yancy Medeiros,John Makdessi,0,DEC
Marcio Alexandre Junior,Court McGee,1,DEC
Frankie Edgar,Chad Mendes,0,KO/TKO
Artem Lobov,Ryan Hall,1,DEC
Tony Ferguson,Edson Barboza,0,SUB
Joe Lauzon,Evan Dunham,1,DEC
Tatsuya Kawajiri,Jason Knight,0,DEC
Marcin Wrzosek,Julian Erosa,1,DEC
Gabriel Gonzaga,Konstantin Erokhin,0,DEC
Mike Pierce,Ryan LaFlare,1,DEC
Geane Herrera,Joby Sanchez,0,KO/TKO
Abner Lloveras,Chris Gruetzemacher,1,DEC
Rose Namajunas,Paige VanZant,0,SUB
Jim Miller,Michael Chiesa,1,SUB
Sage Northcutt,Cody Pfister,0,SUB
Elias Theodorou,Thiago Santos,1,DEC
Tim Means,John Howard,0,KO/TKO
Omari Akhmedov,Sergio Moraes,1,KO/TKO
Antonio Carlos Junior,Kevin Casey,0,CNC
Johnny Eduardo,Aljamain Sterling,1,SUB
Santiago Ponzinibbio,Andreas Stahl,0,KO/TKO
Nathan Coy,Danny Roberts,1,SUB
Zubaira Tukhugov,Phillipe Nover,0,DEC
Emily Kagan,Kailin Curran,1,SUB
Benson Henderson,Jorge Masvidal,0,DEC
Dominic Waters,Dong Hyun Kim,1,KO/TKO
Alberto Mina,Yoshihiro Akiyama,0,DEC
Sam Sicilia,Dooho Choi,1,KO/TKO
Dongi Yang,Jake Collier,0,KO/TKO
Yui Chul Nam,Mike de la Torre,1,DEC
Tae Hyun Bang,Leo Kuntz,0,DEC
Cortney Casey,Seo Hee Ham,1,DEC
Fredy Serrano,Yao Zhikui,0,KO/TKO
Guangyou Ning,Marco Beltran,1,DEC
Dominique Steele,Dong Hyun Ma,0,KO/TKO
Neil Magny,Kelvin Gastelum,0,DEC
Diego Sanchez,Ricardo Lamas,1,DEC
Henry Cejudo,Jussier Formiga,0,DEC
Enrique Marin,Erick Montano,1,DEC
Enrique Barzola,Horacio Gutierrez,0,DEC
Efrain Escudero,Leandro Silva,1,DEC
Erik Perez,Taylor Lapilus,0,DEC
Hector Urbina,Bartosz Fabinski,1,DEC
Alejandro Perez,Scott Jorgensen,0,KO/TKO
Gabriel Benitez,Andre Fili,1,KO/TKO
Alvaro Herrera Mendoza,Vernon Ramos Ho,0,KO/TKO
Cesar Arzamendia,Marco Polo Reyes,1,KO/TKO
Michel Prazeres,Valmir Lazaro,0,DEC
Holly Holm,Ronda Rousey,0,KO/TKO
Valerie Letourneau,Joanna Jedrzejczyk,1,DEC
Mark Hunt,Antonio Silva,0,KO/TKO
Uriah Hall,Robert Whittaker,1,DEC
Jared Rosholt,Stefan Struve,0,DEC
Akbarh Arreola,Jake Matthews,1,KO/TKO
Kyle Noke,Peter Sobotta,0,KO/TKO
Anthony Perosh,Gian Villante,1,KO/TKO
Danny Martinez,Richie Vaculik,0,DEC
Steve Montgomery,Daniel Kelly,1,DEC
Richard Walsh,Steve Kennedy,0,DEC
Anton Zafir,James Moontasri,1,KO/TKO
Ben Nguyen,Ryan Benoit,0,SUB
Vitor Belfort,Dan Henderson,0,KO/TKO
Patrick Cummins,Glover Teixeira,1,KO/TKO
Thomas Almeida,Anthony Birchak,0,KO/TKO
Piotr Hallmann,Alex Oliveira,1,KO/TKO
Rashid Magomedov,Gilbert Burns,0,DEC
Fabio Maldonado,Corey Anderson,1,DEC
Abel Trujillo,Gleison Tibau,0,DQ
Yan Cabral,Johnny Case,1,DEC
Thiago Tavares,Clay Guida,0,SUB
Edimilson Souza,Chas Skelly,1,SUB
Viscardi Andrade,Gasan Umalatov,0,DEC
Pedro Munhoz,Jimmie Rivera,1,DEC
Matheus Nicolau,Bruno Korea,0,SUB
Louis Smolka,Paddy Holohan,0,SUB
Reza Madadi,Norman Parke,1,DEC
Nicolas Dalby,Darren Till,0,M-DEC
Jon Delos Reyes,Neil Seery,1,SUB
Stevie Ray,Mickael Lebout,0,DEC
Ericka Almeida,Aisling Daly,1,DEC
Krzysztof Jotko,Scott Askham,0,DEC
Cathal Pendred,Tom Breese,1,KO/TKO
Darren Elkins,Robert Whiteford,0,DEC
Bubba Bush,Garreth McLellan,1,KO/TKO
Daniel Cormier,Alexander Gustafsson,0,DEC
Rashad Evans,Ryan Bader,1,DEC
Ruslan Magomedov,Shawn Jordan,0,DEC
Ali Bagautinov,Joseph Benavidez,1,DEC
Julianna Pena,Jessica Eye,0,DEC
Dan Hooker,Yair Rodriguez,1,DEC
Albert Tumenov,Alan Jouban,0,KO/TKO
Islam Makhachev,Adriano Martins,1,KO/TKO
Rose Namajunas,Angela Hill,0,SUB
Francisco Trevino,Sage Northcutt,1,KO/TKO
Sergio Pettis,Chris Cariaso,0,DEC
Viktor Pesta,Derrick Lewis,1,KO/TKO
Josh Barnett,Roy Nelson,0,DEC
Gegard Mousasi,Uriah Hall,1,KO/TKO
Kyoji Horiguchi,Chico Camus,0,DEC
George Roop,Takeya Mizugaki,1,DEC
Diego Brandao,Katsunori Kikuno,0,KO/TKO
Teruto Ishihara,Mizuto Hirota,1,DEC
Keita Nakamura,Li Jingliang,0,SUB
Yusuke Kasuya,Nick Hein,1,DEC
Kajan Johnson,Naoyuki Kotani,0,DEC
Roger Zapata,Shinsho Anzai,1,KO/TKO
Demetrious Johnson,John Dodson,0,DEC
Frank Mir,Andrei Arlovski,1,DEC
Anthony Johnson,Jimi Manuwa,0,KO/TKO
Jan Blachowicz,Corey Anderson,1,DEC
Paige VanZant,Alex Chambers,0,SUB
Paul Felder,Ross Pearson,1,DEC
John Lineker,Francisco Rivera,0,SUB
Jessica Andrade,Raquel Pennington,1,SUB
Tiago dos Santos e Silva,Clay Collard,0,DEC
Ron Stallings,Joe Riggs,1,DQ
Joaquim Silva,Nazareno Malegarie,0,DEC
Max Holloway,Charles Oliveira,0,KO/TKO
Erick Silva,Neil Magny,1,DEC
Patrick Cote,Joshua Burkman,0,KO/TKO
Chad Laprise,Francisco Trinaldo,1,KO/TKO
Olivier Aubin-Mercier,Tony Sims,0,DEC
Maryna Moroz,Valerie Letourneau,1,DEC
Frankie Perez,Sam Stout,0,KO/TKO
Yves Jabouin,Felipe Arantes,1,SUB
Nikita Krylov,Marcos Rogerio de Lima,0,SUB
Chris Beal,Chris Kelades,1,DEC
Shane Campbell,Elias Silverio,0,DEC
Daniel Jolly,Misha Cirkunov,1,KO/TKO
Glover Teixeira,Ovince Saint Preux,0,SUB
Michael Johnson,Beneil Dariush,1,DEC
Derek Brunson,Sam Alvey,0,KO/TKO
Timothy Johnson,Jared Rosholt,1,DEC
Amanda Nunes,Sara McMann,0,SUB
Geane Herrera,Ray Borg,1,DEC
Uriah Hall,Oluwale Bamgbose,0,KO/TKO
Tom Watson,Chris Camozzi,1,DEC
Dustin Ortiz,Willie Gates,0,KO/TKO
Sirwan Kakai,Frankie Saenz,1,DEC
Jonathan Wilson,Chris Dempsey,0,KO/TKO
Roman Salazar,Marlon Vera,1,SUB
Scott Holtzman,Anthony Christodoulou,0,SUB
Ronda Rousey,Bethe Correia,0,KO/TKO
Rogerio Nogueira,Mauricio Rua,1,DEC
Glaico Franca Moreira,Fernando Bruno,0,SUB
Dileno Lopes,Reginaldo Vieira,1,DEC
Stefan Struve,Antonio Rodrigo Nogueira,0,DEC
Soa Palelei,Antonio Silva,1,KO/TKO
Claudia Gadelha,Jessica Aguilar,0,DEC
Neil Magny,Demian Maia,1,SUB
Patrick Cummins,Rafael Cavalcante,0,KO/TKO
Nordine Taleb,Warlley Alves,1,SUB
Iuri Alcantara,Leandro Issa,0,DEC
Clint Hester,Vitor Miranda,1,KO/TKO
Guido Cannetti,Hugo Viana,0,DEC
TJ Dillashaw,Renan Barao,0,KO/TKO
Jessica Eye,Miesha Tate,1,DEC
Edson Barboza,Paul Felder,0,DEC
Takanori Gomi,Joe Lauzon,1,KO/TKO
Tom Lawlor,Gian Villante,0,KO/TKO
Danny Castillo,Jim Miller,1,DEC
Ben Saunders,Kenny Robertson,0,DEC
Eddie Wineland,Bryan Caraway,1,DEC
James Krause,Daron Cruickshank,0,SUB
Ramsey Nijem,Andrew Holbrook,1,DEC
Elizabeth Phillips,Jessamyn Duke,0,DEC
Dominique Steele,Zak Cummings,1,KO/TKO
Michael Bisping,Thales Leites,0,DEC
Ross Pearson,Evan Dunham,1,DEC
Joe Duffy,Ivan Jorge,0,SUB
Cortney Casey,Joanne Wood,1,DEC
Leon Edwards,Pawel Pawlak,0,DEC
Leonardo Mafra,Stevie Ray,1,KO/TKO
Paddy Holohan,Vaughan Lee,0,DEC
Hans Stringer,Ilir Latifi,1,KO/TKO
Mickael Lebout,Teemu Packalen,0,DEC
Paul Redmond,Robert Whiteford,1,KO/TKO
Jimmie Rivera,Marcus Brimage,0,KO/TKO
Chris de la Rocha,Daniel Omielanczuk,1,KO/TKO
Frank Mir,Todd Duffee,0,KO/TKO
Josh Thomson,Tony Ferguson,1,DEC
Holly Holm,Marion Reneau,0,DEC
Scott Jorgensen,Manvel Gamburyan,1,DEC
Kevin Lee,James Moontasri,0,SUB
Matt Dwyer,Alan Jouban,1,DEC
Sam Sicilia,Yaotzin Meza,0,DEC
Sarah Moras,Jessica Andrade,1,DEC
Rani Yahya,Masanori Kanehara,0,DEC
Igor Araujo,Sean Strickland,1,DEC
Kevin Casey,Ildemar Alcantara,0,DEC
Andrew Craig,Lyman Good,1,KO/TKO
Stephen Thompson,Jake Ellenberger,0,KO/TKO
Hayder Hassan,Kamaru Usman,1,SUB
Michael Graves,Vicente Luque,0,DEC
Cezar Ferreira,Jorge Masvidal,1,KO/TKO
Michelle Waterson-Gomez,Angela Magana,0,SUB
Mike de la Torre,Maximo Blanco,1,KO/TKO
Josh Samman,Caio Magalhaes,0,SUB
Russell Doane,Jerrod Sanders,1,DEC
Trevor Smith,Dan Miller,0,DEC
Dominic Waters,George Sullivan,1,DEC
Willie Gates,Darrell Montague,0,KO/TKO
